p             64.00  21.00    .00    .00    .00   1.00   1.00   9.00    .00    .00    .00    .00    .00   8.00  15.00    .00    .00   1.00    .00    .00    .00    .00    .00
b              1.00  98.00   9.00   1.00   1.00   1.00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00   5.00   3.00   1.00
m               .00    .00 117.00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00   1.00    .00   2.00
f             19.00   7.00   3.00  46.00  22.00   7.00   2.00    .00    .00    .00    .00    .00    .00    .00   2.00    .00    .00    .00    .00   2.00    .00   7.00   3.00
v             48.00  10.00    .00  11.00  23.00   4.00   3.00   1.00    .00    .00    .00    .00   2.00    .00   1.00    .00    .00   1.00   1.00    .00  12.00   2.00   1.00
tc             2.00   9.00   1.00  14.00  12.00  16.00  15.00    .00    .00   2.00    .00    .00    .00   1.00   3.00  21.00   9.00   1.00   4.00   4.00   1.00   3.00   2.00
dc            13.00    .00    .00   4.00    .00  10.00  12.00    .00    .00    .00    .00    .00   1.00   7.00   4.00   7.00   9.00  14.00   9.00  19.00   2.00   6.00   3.00
w               .00    .00    .00    .00    .00    .00    .00 112.00   4.00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00   4.00    .00    .00
r               .00    .00    .00    .00    .00    .00    .00    .00 119.00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00   1.00    .00    .00
cc              .00    .00    .00    .00    .00    .00    .00    .00    .00  94.00  24.00   1.00   1.00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00
j               .00    .00    .00    .00    .00    .00   1.00    .00    .00  54.00  59.00    .00   3.00    .00    .00    .00    .00    .00   3.00    .00    .00    .00    .00
sc              .00    .00    .00    .00    .00    .00   1.00    .00    .00   5.00   1.00  81.00  30.00    .00    .00    .00   2.00    .00    .00    .00    .00    .00    .00
zc              .00    .00    .00    .00    .00    .00   1.00    .00    .00  14.00  19.00  34.00  51.00    .00    .00    .00   1.00    .00    .00    .00    .00    .00    .00
t               .00    .00    .00    .00    .00   1.00   3.00    .00    .00    .00    .00    .00    .00  57.00  44.00    .00    .00  11.00   4.00    .00    .00    .00    .00
d               .00    .00    .00    .00    .00    .00   1.00    .00    .00    .00    .00    .00    .00   1.00 112.00    .00    .00    .00   5.00    .00   1.00    .00    .00
s               .00    .00    .00  14.00   5.00  10.00  10.00    .00    .00    .00    .00   2.00   4.00    .00    .00  49.00   9.00   1.00    .00  16.00    .00    .00    .00
z              1.00    .00    .00  10.00   7.00  16.00   6.00    .00    .00   6.00   2.00    .00   5.00   2.00    .00  12.00   5.00   8.00   1.00  14.00   1.00  17.00   7.00
k               .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00  92.00  28.00    .00    .00    .00    .00
g               .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00  21.00  99.00    .00    .00    .00    .00
n               .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00 120.00    .00    .00    .00
l               .00    .00    .00    .00    .00    .00    .00    .00  73.00    .00    .00   1.00    .00    .00    .00    .00    .00    .00    .00    .00  46.00    .00    .00
h              8.00    .00   2.00  10.00  31.00    .00   1.00  13.00   1.00    .00    .00    .00    .00   2.00    .00    .00    .00   6.00    .00   3.00   3.00  35.00   5.00
a              2.00   4.00  41.00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00    .00   2.00    .00   4.00   8.00   7.00  52.00
