b       p       m       f       v       Dh      th      Ch      J       sh      w       r       d       h       g       k       l       n       s       z       t       y       pr      st      tr      gr      kr
b            330     446     222       0       0       1       0       0       0       0       3       0       0       4       0       0       0       0       0       0       1       2     191       0       0       0       0
p            298     526     198       0       0       0       1       0       0       0       0       2       1      21       1       1       2       0       2       0       1       1     140       2       0       1       2
m            374     428     298       0       1       0       1       0       0       0       0       0       0       0       0       2       2       3       0       0       2       1      82       2       1       0       3
f              0       1       1     720     459       0       1       1       2       0       0       5       0       3       0       2       0       0       0       1       0       2       0       1       0       0       1
v              0       1       0     754     429       0       0       0       0       1       1       9       0       0       1       1       0       0       0       0       0       3       0       0       0       0       0
Dh             1       0       0       0       0     369     817       2       0       0       0       0       0       4       0       0       1       1       1       0       1       0       0       0       1       2       0
th             0       0       0       0       0     275     894       0       0       0       0       1       0       2       0       0      20       0       1       1       0       0       0       2       1       2       1
Ch             0       0       0       0       0       4       0     401     235     361       0       1       9       2      74       3       0       1       7      10       4       2       0      62      14       9       1
J              0       0       0       0       0       1       1     407     218     366       0       0       7       8      58       9       0       0      16       7       9       4       0      58      23       4       4
sh             0       0       0       1       1       0       1     390     201     403       1       0       3       3      65       6       0       2      16       8       4       2       0      68      17       8       0
w              0       0       1       1       0       0       0       0       1       0     981     161       0      17       3       2       1       3       1       0       2       4       1       1       0       8      12
r              0       1       0     104      22       0       0       0       0       0     123     788       0       5       5       2       1       1       2       2       2       2       2       3       2      83      50
d              1       0       1       1       0       3       4      35      62      49       1       0     126      11      59      23      14      89     182     125     151      39       0     163      49      10       2
h              0       1       1       0       0       1       2       1       0       0      33      21      25     674     100     109       3      25      23       9      37      68       0      12       0      17      38
g              0       0       1       1       0       1       0       1       5       2       1       6      26     122     294     226      27     180      10       7      31     147       0       2       0      39      71
k              1       0       2       1       1       0       1       2       2       0       3       5       8     149     339     299      20      68       3       2       4     155       0       2       1      52      80
l              0       0       0       2       0      28      65       1       3       6       1       1       9       6       9       8     995      25      10       0       9      10       1       6       0       3       2
n              0       2       1       2       0       3       6      18      36      21       1       0     123      21      35      39      75     307      91      87     126      71       0     116      10       4       5
s              1       0       1       1       1       2       4      38      35      46       0       1      95       7      18      11       4      31     281     163     107      11       1     305      32       2       2
z              1       0       1       0       0       2       6      39      47      61       3       0      90       2      36      19       0      34     257     166     102      20       0     292      13       8       1
t              3       0       1       2       0       2       4      50      59      49       0       4     111      14      49      23       5      84     173     140     183      43       1     161      26      10       3
y              1       2       0       1       1       5       2      23      42      37       0       1     107      30     125     102      36     175      59      57     110     188       0      66       6      11      13
pr            14       6       0       2       1       0       0       0       1       0       3       2       0      13       2       0       1       3       1       0       0       0    1151       0       0       0       0
st             1       0       0       0       0       2       1      50      34      45       0       0      82       8       8      11       0      14     279     193      65      11       0     382      12       0       2
tr             0       0       0       0       1       1       2      19      23      28       1       8       6      32      10      19       1       5      10       6      21      11       1      96     833      32      34
gr             1       0       1       3       0       0       0       3       0       0       7     105       1       3      13      33       4       2       0       1       3       6       2       0      57     446     509
kr             0       1       0       0       0       0       2       5       4       2       3      53       1      11      24      36      12       3       2       0       3      11       0       0      19     419     589
