Video	Frame	offset	14156	for	VCV						
audio	sample	number	=	rnd	(video	frame	number/5)	*8008			
											
Manner:											
									Duplicates removed		
23064	23132	ada	22628	22691	aza				23064	23132	ada
16171	16239	ada	26345	26397	aza				16171	16239	ada
22628	22691	aza	17669	17719	ana				22628	22691	aza
26345	26397	aza	24685	24742	ana				26345	26397	aza
16786	16836	aba	18464	18510	ama				16786	16836	aba
23669	23719	aba	25543	25599	ama				23669	23719	aba
23064	23132	ada	17669	17719	ana				19910	19980	ata
16171	16239	ada	24685	24742	ana				26902	26956	ata
19910	19980	ata	15096	15153	asa				17669	17719	ana
26902	26956	ata	20271	20339	asa				24685	24742	ana
									18464	18510	ama
PLACE:									25543	25599	ama
									15096	15153	asa
19640	19696	apa	19910	19980	ata				20271	20339	asa
26675	26731	apa	26902	26956	ata				19640	19696	apa
16786	16836	aba	18880	18949	aga				26675	26731	apa
23669	23719	aba	26010	26064	aga				17019	17072	ava
17019	17072	ava	22628	22691	aza				23892	23946	ava
23892	23946	ava	26345	26397	aza				16472	16530	afa
16472	16530	afa	15096	15153	asa				23374	23429	afa
23374	23429	afa	20271	20339	asa				18880	18949	aga
18464	18510	ama	17669	17719	ana				26010	26064	aga
25543	25599	ama	24685	24742	ana				16416	16471	aka
									23302	23373	aka
Voice:											
											
16786	16836	aba	19640	19696	apa						
23669	23719	aba	26675	26731	apa						
16171	16239	ada	19910	19980	ata				duplicates removed		
23064	23132	ada	26902	26956	ata				50851	50930	heed
17019	17072	ava	16472	16530	afa				51162	51223	how'd
23892	23946	ava	23374	23429	afa				51834	51898	who'd
18880	18949	aga	16416	16471	aka				51476	51551	hide
26010	26064	aga	23302	23373	aka				51790	51833	hoy'd
22628	22691	aza	15096	15153	asa				51224	51300	hid
26345	26397	aza	20271	20339	asa				50931	50997	head
									51084	51161	hood
videoframe	Offset	for	VOWEL	Stim	49911				51617	51666	hod
									51301	51376	had
Vowel	Length:								51377	51475	haw'd
									51667	51728	hoed
50851	50930	heed	51224	51300	hid						
51162	51223	how'd	50931	50997	head						
51834	51898	who'd	51084	51161	hood						
51476	51551	hide	51617	51666	hod						
51790	51833	hoy'd	51301	51376	had						
											
HIF1	vs	LOWF1									
											
51617	51666	hod	51084	51161	hood						
51301	51376	had	51224	51300	hid						
											
Hif2	vs	Lowf2									
											
50851	50930	heed	51834	51898	who'd						
51224	51300	hid	51084	51161	hood						
											
											
HiF2	MidF2										
51301	51376	had	51617	51666	hod						
50931	50997	head	51377	51475	haw'd						
											
											
HiF1	MidF1										
											
51617	51666	hod	50931	50997	head						
51301	51376	had	50931	50997	head						
											
MidF2	Lowf2										
											
51301	51376	had	51667	51728	hoed						
51084	51161	hood	51834	51898	who'd						
											
MidF1	LowF1										
											
51667	51728	hoed	51667	51728	hoed						
50931	50997	head	50931	50997	head						
