,SAND,TANNED,MASQUE,TEAMS,TOADS,DENSE,MOST,NEST,DANCE,SEND,TEND,MAX,SEAMS,ZONES,NETS,MEANT,MIST,MAPS,PEACE,MEAT,NOSE,PEAT,KNEES,SOAK,SPIN,SPIT,STOOP,SKIN,SNIP,STOKE
SAND,0,0.591,2.341,2.953,3.009,2.832,3.536,3.492,2,0.832,1.423,2.46,2.362,2.272,3.708,2.616,3.662,2.64,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
TANNED,0.591,0,2.146,2.362,2.418,2.616,3.341,3.492,1.784,1.423,0.832,2.265,2.953,2.402,3.708,2.421,3.467,2.445,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
MASQUE,2.341,2.146,0,3.743,3.557,3.109,1.687,2.113,2.277,3.173,2.978,2,3.938,3.615,2.831,2.643,1.813,2,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
TEAMS,2.953,2.362,3.743,0,1.339,2.582,3.439,3.458,2.696,2.839,2.248,2.719,0.591,2.042,3.133,2.733,3.439,2.716,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
TOADS,3.009,2.418,3.557,1.339,0,2.678,2.439,3.312,2.752,2.935,2.344,2.526,1.93,1.284,2.966,2.829,3.271,2.287,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
DENSE,2.832,2.616,3.109,2.582,2.678,0,2.608,2.179,0.832,2,1.784,1.631,2.798,2.198,1.588,0.93,2.522,1.811,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
MOST,3.536,3.341,1.687,3.439,2.439,2.608,0,1.148,2.682,3.462,3.267,2.405,3.634,2.497,2.33,1.678,0.832,2.405,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
NEST,3.492,3.492,2.113,3.458,3.312,2.179,1.148,0,3.011,2.66,2.66,2.831,3.458,3.067,1.182,1.346,1.062,2.831,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
DANCE,2,1.784,2.277,2.696,2.752,0.832,2.682,3.011,0,2.832,2.616,0.799,2.912,2.272,2.42,1.762,2.808,0.979,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
SEND,0.832,1.423,3.173,2.839,2.935,2,3.462,2.66,2.832,0,0.591,3.292,2.248,2.198,2.876,1.784,3.376,3.472,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
TEND,1.423,0.832,2.978,2.248,2.344,1.784,3.267,2.66,2.616,0.591,0,3.097,2.839,2.328,2.876,1.589,3.181,3.277,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
MAX,2.46,2.265,2,2.719,2.526,1.631,2.405,2.831,0.799,3.292,3.097,0,2.914,2.703,2.113,1.883,2.531,0.356,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
SEAMS,2.362,2.953,3.938,0.591,1.93,2.798,3.634,3.458,2.912,2.248,2.839,2.914,0,1.912,3.133,2.928,3.634,2.911,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
ZONES,2.272,2.402,3.615,2.042,1.284,2.198,2.497,3.067,2.272,2.198,2.328,2.703,1.912,0,2.937,2.299,3.329,2.883,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
NETS,3.708,3.708,2.831,3.133,2.966,1.588,2.33,1.182,2.42,2.876,2.876,2.113,3.133,2.937,0,1.937,2.244,1.985,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
