,SAND,TANNED,MASK,TEAMS,TOADS,DENSE,DANCE,MOST,NEST,CODES,NOTES,PEAKS,TEST,TASK,MEND,SETS,TONES,TUNES,PEACE,MEAT,NOSE,MOOD,MOON,TEAK,SPIN,SPIT,STOOP,SPEAK,STEAM,SNOOZE
SAND,0,1,3,4,4,3,2,4,4,4,4,4,4,3,2,3,3,3,4,4,4,3,3,4,3,4,4,4,4,4
TANNED,1,0,3,3,3,3,2,4,4,4,4,4,3,2,2,4,2,2,4,4,4,3,3,3,4,5,4,5,4,5
MASK,3,3,0,4,4,4,3,2,3,4,4,4,3,1,3,4,4,4,3,3,4,3,3,3,5,5,5,4,5,5
TEAMS,4,3,4,0,2,4,4,4,4,3,4,3,3,3,4,4,2,2,3,3,3,4,4,2,5,5,4,4,2,4
TOADS,4,3,4,2,0,4,4,3,4,1,3,4,3,3,4,4,1,2,4,4,2,3,4,3,5,5,4,5,4,4
DENSE,3,3,4,4,4,0,1,4,3,4,3,3,3,4,2,2,3,3,3,4,4,4,3,4,4,5,5,5,5,5
DANCE,2,2,3,4,4,1,0,4,4,4,3,3,4,3,3,3,3,3,3,4,4,4,3,4,4,5,5,5,5,5
MOST,4,4,2,4,3,4,4,0,2,3,3,4,2,3,3,4,3,4,3,2,3,3,3,4,5,4,5,5,5,5
NEST,4,4,3,4,4,3,4,2,0,4,3,4,1,3,3,3,4,4,3,3,3,4,4,4,5,4,5,5,5,4
CODES,4,4,4,3,1,4,4,3,4,0,3,4,4,4,4,4,2,3,4,4,2,3,4,4,5,5,5,5,5,4
NOTES,4,4,4,4,3,3,3,3,3,3,0,3,4,4,4,2,3,4,3,3,2,4,4,4,5,4,5,5,5,4
PEAKS,4,4,4,3,4,3,3,4,4,4,3,0,4,4,4,3,4,4,1,3,4,4,4,2,4,4,5,2,4,5
TEST,4,3,3,3,3,3,4,2,1,4,4,4,0,2,3,3,3,3,3,3,4,4,4,3,5,4,4,5,4,5
TASK,3,2,1,3,3,4,3,3,3,4,4,4,2,0,4,4,3,3,3,4,4,4,4,2,5,5,4,4,4,5
MEND,2,2,3,4,4,2,3,3,3,4,4,4,3,4,0,3,3,3,4,3,4,2,2,4,4,5,5,5,5,5
SETS,3,4,4,4,4,2,3,4,3,4,2,3,3,4,3,0,4,4,3,3,4,4,4,4,4,3,4,4,4,4
TONES,3,2,4,2,1,3,3,3,4,2,3,4,3,3,3,4,0,1,4,4,2,4,3,3,4,5,4,5,4,4
TUNES,3,2,4,2,2,3,3,4,4,3,4,4,3,3,3,4,1,0,4,4,3,3,2,3,4,5,3,5,4,3
PEACE,4,4,3,3,4,3,3,3,3,4,3,1,3,3,4,3,4,4,0,2,3,3,3,2,3,3,4,2,3,4
MEAT,4,4,3,3,4,4,4,2,3,4,3,3,3,4,3,3,4,4,2,0,3,2,2,2,4,3,4,3,3,4
NOSE,4,4,4,3,2,4,4,3,3,2,2,4,4,4,4,4,2,3,3,3,0,3,3,3,4,4,4,4,4,2
MOOD,3,3,3,4,3,4,4,3,4,3,4,4,4,4,2,4,4,3,3,2,3,0,1,3,4,4,3,4,4,3
MOON,3,3,3,4,4,3,3,3,4,4,4,4,4,4,2,4,3,2,3,2,3,1,0,3,3,4,3,4,4,3
TEAK,4,3,3,2,3,4,4,4,4,4,4,2,3,2,4,4,3,3,2,2,3,3,3,0,4,4,3,2,2,4
SPIN,3,4,5,5,5,4,4,5,5,5,5,4,5,5,4,4,4,4,3,4,4,4,3,4,0,1,3,2,3,3
SPIT,4,5,5,5,5,5,5,4,4,5,4,4,4,5,5,3,5,5,3,3,4,4,4,4,1,0,3,2,3,3
STOOP,4,4,5,4,4,5,5,5,5,5,5,5,4,4,5,4,4,3,4,4,4,3,3,3,3,3,0,3,2,2
SPEAK,4,5,4,4,5,5,5,5,5,5,5,2,5,4,5,4,5,5,2,3,4,4,4,2,2,2,3,0,2,3
STEAM,4,4,5,2,4,5,5,5,5,5,5,4,4,4,5,4,4,4,3,3,4,4,4,2,3,3,2,2,0,3
SNOOZE,4,5,5,4,4,5,5,5,4,4,4,5,5,5,5,4,4,3,4,4,2,3,3,4,3,3,2,3,3,0
