,SAND,TANNED,MASK,TEAMS,TOADS,DENSE,DANCE,MOST,NEST,CODES,NOTES,PEAKS,TEST,TASK,MEND,SETS,TONES,TUNES,PEACE,MEAT,NOSE,MOOD,MOON,TEAK,SPIN,SPIT,STOOP,SPEAK,STEAM,SNOOZE
SAND,0,0.591,2.341,2.953,3.009,2.832,2,3.536,3.492,3.418,3.69,3.46,3.145,1.932,1.832,2.77,2.359,2.485,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
TANNED,0.591,0,2.146,2.362,2.418,2.616,1.784,3.341,3.492,3.291,3.69,3.205,2.554,1.341,1.637,3.361,1.768,1.894,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
MASK,2.341,2.146,0,3.743,3.557,3.109,2.277,1.687,2.113,3.162,2.813,3.407,2.51,0.805,2.173,3.423,3.495,3.621,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
TEAMS,2.953,2.362,3.743,0,1.339,2.582,2.696,3.439,3.458,2.212,3.247,1.659,2.52,2.938,3.053,2.786,1.408,1.408,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
TOADS,3.009,2.418,3.557,1.339,0,2.678,2.752,2.439,3.312,0.873,2.226,2.652,2.374,2.752,3.149,2.619,0.65,1.552,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
DENSE,2.832,2.616,3.109,2.582,2.678,0,0.832,2.608,2.179,2.297,2.328,1.51,2.313,3.554,1.339,1.938,2.028,2.228,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
DANCE,2,1.784,2.277,2.696,2.752,0.832,0,2.682,3.011,2.371,2.402,1.624,3.145,2.722,2.171,2.77,2.102,2.228,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
MOST,3.536,3.341,1.687,3.439,2.439,2.608,2.682,0,1.148,2.044,1.59,2.998,1.545,2.492,2.462,2.922,2.377,3.279,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
NEST,3.492,3.492,2.113,3.458,3.312,2.179,3.011,1.148,0,2.834,1.922,3.117,0.938,2.643,2.13,2.12,3.25,3.45,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
CODES,3.418,3.291,3.162,2.212,0.873,2.297,2.371,2.044,2.834,0,1.748,2.263,3.247,3.625,2.754,3.028,1.523,2.425,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
NOTES,3.69,3.69,2.813,3.247,2.226,2.328,2.402,1.59,1.922,1.748,0,2.513,2.86,3.343,3.086,1.678,2.38,3.282,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
PEAKS,3.46,3.205,3.407,1.659,2.652,1.51,1.624,2.998,3.117,2.263,2.513,0,3.222,3.745,2.753,2.759,2.709,2.709,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
TEST,3.145,2.554,2.51,2.52,2.374,2.313,3.145,1.545,0.938,3.247,2.86,3.222,0,1.705,2.527,1.773,2.312,2.512,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
TASK,1.932,1.341,0.805,2.938,2.752,3.554,2.722,2.492,2.643,3.625,3.343,3.745,1.705,0,2.978,3.014,2.69,2.816,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
MEND,1.832,1.637,2.173,3.053,3.149,1.339,2.171,2.462,2.13,2.754,3.086,2.753,2.527,2.978,0,2.938,2.499,2.699,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
SETS,2.77,3.361,3.423,2.786,2.619,1.938,2.77,2.922,2.12,3.028,1.678,2.759,1.773,3.014,2.938,0,2.773,2.973,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
TONES,2.359,1.768,3.495,1.408,0.65,2.028,2.102,2.377,3.25,1.523,2.38,2.709,2.312,2.69,2.499,2.773,0,0.902,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
TUNES,2.485,1.894,3.621,1.408,1.552,2.228,2.228,3.279,3.45,2.425,3.282,2.709,2.512,2.816,2.699,2.973,0.902,0,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5
PEACE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0.998,2.144,2.407,2.345,1.745,4,4,4,4,4,4
MEAT,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.998,0,2.042,1.784,1.938,1.678,4,4,4,4,4,4
NOSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.144,2.042,0,2.264,2.065,2.876,4,4,4,4,4,4
MOOD,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.407,1.784,2.264,0,0.65,2.208,4,4,4,4,4,4
MOON,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.345,1.938,2.065,0.65,0,2.265,4,4,4,4,4,4
TEAK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.745,1.678,2.876,2.208,2.265,0,4,4,4,4,4,4
SPIN,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4,4,4,4,4,0,0.938,2.385,1.46,2.153,2.395
SPIT,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4,4,4,4,4,0.938,0,2.49,1.873,2.55,2.274
STOOP,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4,4,4,4,4,2.385,2.49,0,2.101,1.407,1.892
SPEAK,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4,4,4,4,4,1.46,1.873,2.101,0,1.155,2.578
